,threshold,train_dataset_accuracy,test_dataset_accuracy
0,4.876830119201911e-05,0.4554 (92/202),0.4074 (22/54)
0,4.912903883641177e-05,0.4554 (92/202),0.4074 (22/54)
0,4.9492444846215995e-05,0.4554 (92/202),0.4074 (22/54)
0,4.98585389592498e-05,0.4554 (92/202),0.4074 (22/54)
0,5.022734105933121e-05,0.4554 (92/202),0.4074 (22/54)
0,5.059887117735815e-05,0.4554 (92/202),0.4074 (22/54)
0,5.097314949239683e-05,0.4554 (92/202),0.4074 (22/54)
0,5.135019633277706e-05,0.4554 (92/202),0.4074 (22/54)
0,5.173003217719679e-05,0.4554 (92/202),0.4074 (22/54)
0,5.21126776558343e-05,0.4554 (92/202),0.4074 (22/54)
0,5.249815355146854e-05,0.4554 (92/202),0.4074 (22/54)
0,5.2886480800608394e-05,0.4554 (92/202),0.4074 (22/54)
0,5.327768049462913e-05,0.4554 (92/202),0.4074 (22/54)
0,5.367177388091839e-05,0.4554 (92/202),0.4074 (22/54)
0,5.406878236403008e-05,0.4554 (92/202),0.4074 (22/54)
0,5.4468727506846866e-05,0.4554 (92/202),0.4074 (22/54)
0,5.4871631031751704e-05,0.4554 (92/202),0.4074 (22/54)
0,5.5277514821807045e-05,0.4554 (92/202),0.4074 (22/54)
0,5.568640092194379e-05,0.4554 (92/202),0.4074 (22/54)
0,5.609831154015852e-05,0.4554 (92/202),0.4074 (22/54)
0,5.65132690487196e-05,0.4554 (92/202),0.4074 (22/54)
0,5.693129598538271e-05,0.4554 (92/202),0.4074 (22/54)
0,5.735241505461428e-05,0.4554 (92/202),0.4074 (22/54)
0,5.777664912882512e-05,0.4554 (92/202),0.4074 (22/54)
0,5.820402124961255e-05,0.4554 (92/202),0.4074 (22/54)
0,5.863455462901178e-05,0.4554 (92/202),0.4074 (22/54)
0,5.90682726507571e-05,0.4554 (92/202),0.4074 (22/54)
0,5.95051988715512e-05,0.4554 (92/202),0.4074 (22/54)
0,5.9945357022345115e-05,0.4554 (92/202),0.4074 (22/54)
0,6.0388771009627005e-05,0.4554 (92/202),0.4074 (22/54)
0,6.083546491672048e-05,0.4554 (92/202),0.4074 (22/54)
0,6.128546300509312e-05,0.4554 (92/202),0.4074 (22/54)
0,6.17387897156735e-05,0.4554 (92/202),0.4074 (22/54)
0,6.219546967017906e-05,0.4554 (92/202),0.4074 (22/54)
0,6.265552767245344e-05,0.4554 (92/202),0.4074 (22/54)
0,6.311898870981335e-05,0.4554 (92/202),0.4074 (22/54)
0,6.358587795440633e-05,0.4554 (92/202),0.4074 (22/54)
0,6.405622076457715e-05,0.4554 (92/202),0.4074 (22/54)
0,6.453004268624563e-05,0.4554 (92/202),0.4074 (22/54)
0,6.500736945429381e-05,0.4554 (92/202),0.4074 (22/54)
0,6.548822699396434e-05,0.4554 (92/202),0.4074 (22/54)
0,6.597264142226762e-05,0.4554 (92/202),0.4074 (22/54)
0,6.646063904940097e-05,0.4554 (92/202),0.4074 (22/54)
0,6.695224638017746e-05,0.4554 (92/202),0.4074 (22/54)
0,6.744749011546523e-05,0.4554 (92/202),0.4074 (22/54)
0,6.794639715363846e-05,0.4554 (92/202),0.4074 (22/54)
0,6.844899459203729e-05,0.4554 (92/202),0.4074 (22/54)
0,6.895530972844024e-05,0.4554 (92/202),0.4074 (22/54)
0,6.946537006254651e-05,0.4554 (92/202),0.4074 (22/54)
